Metabolite,Amplitude,SD,Phase,Damping,DFreq,Noise_from_LastPts,Estimated_CRB,Workflow,Signal
MM087,8.5654E0,1.8794E1,0.0000E0,3.0000E1,3.1994E0,3.4821E-2,6.5443E-1,2023-11-13_09:47:47,Rec012_Vox1_quest2
MM167,1.2378E1,2.6446E1,0.0000E0,3.0000E1,-8.0000E0,3.4821E-2,9.2090E-1,2023-11-13_09:47:47,Rec012_Vox1_quest2
MM181,1.2997E1,2.7769E1,0.0000E0,3.0000E1,-8.0000E0,3.4821E-2,9.6694E-1,2023-11-13_09:47:47,Rec012_Vox1_quest2
PCh,5.0371E-2,1.2987E0,0.0000E0,3.0000E1,-8.0000E0,0.0000E0,4.3412E-2,2023-11-13_09:47:47,Rec009_Vox1_quest2
NAAG,7.2063E-1,1.5648E0,0.0000E0,3.0000E1,-6.5005E0,3.3427E-2,5.2306E-2,2023-11-13_09:47:47,Rec009_Vox1_quest2
NAA,3.6031E0,7.8239E0,0.0000E0,3.0000E1,-6.5005E0,3.3427E-2,2.6153E-1,2023-11-13_09:47:47,Rec009_Vox1_quest2
GPC,4.5334E-2,1.1796E0,0.0000E0,3.0000E1,-8.0000E0,3.3427E-2,3.9430E-2,2023-11-13_09:47:47,Rec009_Vox1_quest2
Tau,3.5431E0,5.8909E0,0.0000E0,3.0000E1,-5.7911E0,3.3427E-2,1.9691E-1,2023-11-13_09:47:47,Rec009_Vox1_quest2
Asp,1.5848E0,1.1073E1,0.0000E0,3.0000E1,-8.0000E0,3.3427E-2,3.7012E-1,2023-11-13_09:47:47,Rec009_Vox1_quest2
PE,9.3312E-1,5.9612E0,0.0000E0,3.0000E1,-7.3321E0,3.3427E-2,1.9926E-1,2023-11-13_09:47:47,Rec009_Vox1_quest2
Lac,3.3682E0,1.0145E1,0.0000E0,3.0000E1,4.6403E0,3.3427E-2,3.3910E-1,2023-11-13_09:47:47,Rec009_Vox1_quest2
Ala,1.0149E0,4.3994E0,0.0000E0,3.0000E1,4.6403E0,3.3427E-2,1.4706E-1,2023-11-13_09:47:47,Rec009_Vox1_quest2
Gly,4.5212E-1,9.9323E-1,0.0000E0,3.0000E1,-5.1296E0,3.3427E-2,3.3201E-2,2023-11-13_09:47:47,Rec009_Vox1_quest2
mI,2.2606E0,4.9662E0,0.0000E0,3.0000E1,-5.1296E0,3.3427E-2,1.6600E-1,2023-11-13_09:47:47,Rec009_Vox1_quest2
GABA,2.1064E0,5.6064E0,0.0000E0,3.0000E1,-6.4046E0,3.3427E-2,1.8740E-1,2023-11-13_09:47:47,Rec009_Vox1_quest2
Gln,2.6016E0,5.2412E0,0.0000E0,3.0000E1,-3.9698E0,3.3427E-2,1.7520E-1,2023-11-13_09:47:47,Rec009_Vox1_quest2
Glu,5.7400E0,6.8655E0,0.0000E0,3.0000E1,-3.9698E0,3.3427E-2,2.2949E-1,2023-11-13_09:47:47,Rec009_Vox1_quest2
Glc,9.8003E-1,5.3640E0,0.0000E0,3.0000E1,-4.9957E-1,3.3427E-2,1.7930E-1,2023-11-13_09:47:47,Rec009_Vox1_quest2
PCr,1.0000E0,5.5396E0,0.0000E0,3.0000E1,-6.2177E0,3.3427E-2,1.8517E-1,2023-11-13_09:47:47,Rec009_Vox1_quest2
Cre,9.0909E-1,5.0360E0,0.0000E0,3.0000E1,-6.2177E0,3.3427E-2,1.6834E-1,2023-11-13_09:47:47,Rec009_Vox1_quest2
water1,3.0013E-1,1.4769E0,2.1285E0,3.0000E1,4.3054E0,3.3427E-2,4.9366E-2,2023-11-13_09:47:47,Rec009_Vox1_quest2
water2,1.6935E0,2.8100E0,-1.7104E2,3.0000E1,4.3054E0,3.3427E-2,9.3930E-2,2023-11-13_09:47:47,Rec009_Vox1_quest2
water3,6.0682E-1,1.8420E0,2.7219E1,3.0000E1,4.3054E0,3.3427E-2,6.1572E-2,2023-11-13_09:47:47,Rec009_Vox1_quest2
MM09,6.0843E0,1.4280E1,0.0000E0,3.0000E1,1.1525E0,3.3427E-2,4.7734E-1,2023-11-13_09:47:47,Rec009_Vox1_quest2
MM12,7.3011E0,1.7136E1,0.0000E0,3.0000E1,-8.0000E0,3.3427E-2,5.7280E-1,2023-11-13_09:47:47,Rec009_Vox1_quest2
MM14,6.9983E0,1.6422E1,0.0000E0,3.0000E1,-8.0000E0,3.3427E-2,5.4893E-1,2023-11-13_09:47:47,Rec009_Vox1_quest2
MM19,6.0843E0,1.4280E1,0.0000E0,3.0000E1,-8.0000E0,3.3427E-2,4.7734E-1,2023-11-13_09:47:47,Rec009_Vox1_quest2
